name,ingredients,type,meal,instructions
Broccoli Sprouts Paneer Curry,"broccoli, sprouts, paneer, spinach, moong dal, coconut",healthy,breakfast,"To prepare Recipe 1, start by gathering the ingredients: broccoli, sprouts, paneer, spinach, moong dal, coconut. Heat oil in a pan, add spices and sauté aromatics. Add vegetables or main ingredients and cook until tender. Add salt and seasoning to taste. Simmer until done. Serve hot."
Coconut Garlic Carrot Curry,"coconut, garlic, carrot, fenugreek, spinach",vegetarian,lunch,"To prepare Recipe 2, start by gathering the ingredients: coconut, garlic, carrot, fenugreek, spinach. Heat oil in a pan, add spices and sauté aromatics. Add vegetables or main ingredients and cook until tender. Add salt and seasoning to taste. Simmer until done. Serve hot."
Oats Spinach Onion Curry,"oats, spinach, onion, beans, potato, cauliflower, mustard seeds",vegetarian,breakfast,"To prepare Recipe 3, start by gathering the ingredients: oats, spinach, onion, beans, potato, cauliflower, mustard seeds. Heat oil in a pan, add spices and sauté aromatics. Add vegetables or main ingredients and cook until tender. Add salt and seasoning to taste. Simmer until done. Serve hot."
Fenugreek Broccoli Cumin Curry,"fenugreek, broccoli, cumin, garlic, mint",vegan,dinner,"To prepare Recipe 4, start by gathering the ingredients: fenugreek, broccoli, cumin, garlic, mint. Heat oil in a pan, add spices and sauté aromatics. Add vegetables or main ingredients and cook until tender. Add salt and seasoning to taste. Simmer until done. Serve hot."
Broccoli Green peas Onion Curry,"broccoli, green peas, onion, capsicum, moong dal, mustard seeds, cauliflower",vegan,breakfast,"To prepare Recipe 5, start by gathering the ingredients: broccoli, green peas, onion, capsicum, moong dal, mustard seeds, cauliflower. Heat oil in a pan, add spices and sauté aromatics. Add vegetables or main ingredients and cook until tender. Add salt and seasoning to taste. Simmer until done. Serve hot."
Yogurt Garlic Coconut Curry,"yogurt, garlic, coconut, cauliflower, paneer, broccoli, ginger, cumin",vegan,lunch,"To prepare Recipe 6, start by gathering the ingredients: yogurt, garlic, coconut, cauliflower, paneer, broccoli, ginger, cumin. Heat oil in a pan, add spices and sauté aromatics. Add vegetables or main ingredients and cook until tender. Add salt and seasoning to taste. Simmer until done. Serve hot."
Coconut Beans Garlic Curry,"coconut, beans, garlic, lemon, capsicum, carrot, mint, coriander",vegetarian,lunch,"To prepare Recipe 7, start by gathering the ingredients: coconut, beans, garlic, lemon, capsicum, carrot, mint, coriander. Heat oil in a pan, add spices and sauté aromatics. Add vegetables or main ingredients and cook until tender. Add salt and seasoning to taste. Simmer until done. Serve hot."
Rice Tomato Mint Curry,"rice, tomato, mint, cumin, beans",vegetarian,breakfast,"To prepare Recipe 8, start by gathering the ingredients: rice, tomato, mint, cumin, beans. Heat oil in a pan, add spices and sauté aromatics. Add vegetables or main ingredients and cook until tender. Add salt and seasoning to taste. Simmer until done. Serve hot."
Garlic Capsicum Cumin Curry,"garlic, capsicum, cumin, potato, oats, ginger",vegan,breakfast,"To prepare Recipe 9, start by gathering the ingredients: garlic, capsicum, cumin, potato, oats, ginger. Heat oil in a pan, add spices and sauté aromatics. Add vegetables or main ingredients and cook until tender. Add salt and seasoning to taste. Simmer until done. Serve hot."
Tomato Cauliflower Beans Curry,"tomato, cauliflower, beans, turmeric, paneer",vegetarian,dinner,"To prepare Recipe 10, start by gathering the ingredients: tomato, cauliflower, beans, turmeric, paneer. Heat oil in a pan, add spices and sauté aromatics. Add vegetables or main ingredients and cook until tender. Add salt and seasoning to taste. Simmer until done. Serve hot."
Black pepper Carrot Spinach Curry,"black pepper, carrot, spinach, oats, tomato, cumin, capsicum",vegan,breakfast,"To prepare Recipe 11, start by gathering the ingredients: black pepper, carrot, spinach, oats, tomato, cumin, capsicum. Heat oil in a pan, add spices and sauté aromatics. Add vegetables or main ingredients and cook until tender. Add salt and seasoning to taste. Simmer until done. Serve hot."
Beans Potato Yogurt Curry,"beans, potato, yogurt, quinoa, fenugreek, cumin, onion",vegetarian,lunch,"To prepare Recipe 12, start by gathering the ingredients: beans, potato, yogurt, quinoa, fenugreek, cumin, onion. Heat oil in a pan, add spices and sauté aromatics. Add vegetables or main ingredients and cook until tender. Add salt and seasoning to taste. Simmer until done. Serve hot."
Green peas Sprouts Turmeric Curry,"green peas, sprouts, turmeric, mustard seeds, coriander, tomato, black pepper",vegetarian,breakfast,"To prepare Recipe 13, start by gathering the ingredients: green peas, sprouts, turmeric, mustard seeds, coriander, tomato, black pepper. Heat oil in a pan, add spices and sauté aromatics. Add vegetables or main ingredients and cook until tender. Add salt and seasoning to taste. Simmer until done. Serve hot."
Turmeric Lemon Rice Curry,"turmeric, lemon, rice, beans, broccoli, quinoa, black pepper",healthy,lunch,"To prepare Recipe 14, start by gathering the ingredients: turmeric, lemon, rice, beans, broccoli, quinoa, black pepper. Heat oil in a pan, add spices and sauté aromatics. Add vegetables or main ingredients and cook until tender. Add salt and seasoning to taste. Simmer until done. Serve hot."
Mint Zucchini Rice Curry,"mint, zucchini, rice, lemon, spinach",healthy,dinner,"To prepare Recipe 15, start by gathering the ingredients: mint, zucchini, rice, lemon, spinach. Heat oil in a pan, add spices and sauté aromatics. Add vegetables or main ingredients and cook until tender. Add salt and seasoning to taste. Simmer until done. Serve hot."
Fenugreek Moong dal Beans Curry,"fenugreek, moong dal, beans, oats, quinoa, coconut, cauliflower, lemon",healthy,lunch,"To prepare Recipe 16, start by gathering the ingredients: fenugreek, moong dal, beans, oats, quinoa, coconut, cauliflower, lemon. Heat oil in a pan, add spices and sauté aromatics. Add vegetables or main ingredients and cook until tender. Add salt and seasoning to taste. Simmer until done. Serve hot."
Black pepper Potato Sprouts Curry,"black pepper, potato, sprouts, carrot, broccoli, garlic, cumin",vegan,breakfast,"To prepare Recipe 17, start by gathering the ingredients: black pepper, potato, sprouts, carrot, broccoli, garlic, cumin. Heat oil in a pan, add spices and sauté aromatics. Add vegetables or main ingredients and cook until tender. Add salt and seasoning to taste. Simmer until done. Serve hot."
Zucchini Green peas Chili Curry,"zucchini, green peas, chili, tomato, yogurt, oats, cumin, onion",vegan,breakfast,"To prepare Recipe 18, start by gathering the ingredients: zucchini, green peas, chili, tomato, yogurt, oats, cumin, onion. Heat oil in a pan, add spices and sauté aromatics. Add vegetables or main ingredients and cook until tender. Add salt and seasoning to taste. Simmer until done. Serve hot."
Oats Chili Coconut Curry,"oats, chili, coconut, mint, zucchini, sprouts, fenugreek",vegetarian,dinner,"To prepare Recipe 19, start by gathering the ingredients: oats, chili, coconut, mint, zucchini, sprouts, fenugreek. Heat oil in a pan, add spices and sauté aromatics. Add vegetables or main ingredients and cook until tender. Add salt and seasoning to taste. Simmer until done. Serve hot."
Oats Mustard seeds Fenugreek Curry,"oats, mustard seeds, fenugreek, zucchini, onion",vegan,dinner,"To prepare Recipe 20, start by gathering the ingredients: oats, mustard seeds, fenugreek, zucchini, onion. Heat oil in a pan, add spices and sauté aromatics. Add vegetables or main ingredients and cook until tender. Add salt and seasoning to taste. Simmer until done. Serve hot."
Potato Paneer Garlic Curry,"potato, paneer, garlic, spinach, cumin, lemon",vegan,lunch,"To prepare Recipe 21, start by gathering the ingredients: potato, paneer, garlic, spinach, cumin, lemon. Heat oil in a pan, add spices and sauté aromatics. Add vegetables or main ingredients and cook until tender. Add salt and seasoning to taste. Simmer until done. Serve hot."
Healthy Quinoa Bowl,"quinoa, black pepper, capsicum, coriander, mustard seeds, carrot, moong dal",healthy,lunch,"To prepare Recipe 22, start by gathering the ingredients: quinoa, black pepper, capsicum, coriander, mustard seeds, carrot, moong dal. Heat oil in a pan, add spices and sauté aromatics. Add vegetables or main ingredients and cook until tender. Add salt and seasoning to taste. Simmer until done. Serve hot."
Cumin Green peas Cauliflower Curry,"cumin, green peas, cauliflower, ginger, turmeric",healthy,dinner,"To prepare Recipe 23, start by gathering the ingredients: cumin, green peas, cauliflower, ginger, turmeric. Heat oil in a pan, add spices and sauté aromatics. Add vegetables or main ingredients and cook until tender. Add salt and seasoning to taste. Simmer until done. Serve hot."
Ginger Turmeric Coconut Curry,"ginger, turmeric, coconut, broccoli, garlic, potato",vegan,breakfast,"To prepare Recipe 24, start by gathering the ingredients: ginger, turmeric, coconut, broccoli, garlic, potato. Heat oil in a pan, add spices and sauté aromatics. Add vegetables or main ingredients and cook until tender. Add salt and seasoning to taste. Simmer until done. Serve hot."
Moong dal Broccoli Garlic Curry,"moong dal, broccoli, garlic, green peas, mint",vegetarian,breakfast,"To prepare Recipe 25, start by gathering the ingredients: moong dal, broccoli, garlic, green peas, mint. Heat oil in a pan, add spices and sauté aromatics. Add vegetables or main ingredients and cook until tender. Add salt and seasoning to taste. Simmer until done. Serve hot."
Mustard seeds Tomato Mint Curry,"mustard seeds, tomato, mint, zucchini, paneer, potato, turmeric, chili",healthy,breakfast,"To prepare Recipe 26, start by gathering the ingredients: mustard seeds, tomato, mint, zucchini, paneer, potato, turmeric, chili. Heat oil in a pan, add spices and sauté aromatics. Add vegetables or main ingredients and cook until tender. Add salt and seasoning to taste. Simmer until done. Serve hot."
Garlic Mustard seeds Rice Curry,"garlic, mustard seeds, rice, broccoli, onion",vegan,lunch,"To prepare Recipe 27, start by gathering the ingredients: garlic, mustard seeds, rice, broccoli, onion. Heat oil in a pan, add spices and sauté aromatics. Add vegetables or main ingredients and cook until tender. Add salt and seasoning to taste. Simmer until done. Serve hot."
Coriander Potato Garlic Curry,"coriander, potato, garlic, zucchini, ginger, oats, capsicum, paneer",vegan,breakfast,"To prepare Recipe 28, start by gathering the ingredients: coriander, potato, garlic, zucchini, ginger, oats, capsicum, paneer. Heat oil in a pan, add spices and sauté aromatics. Add vegetables or main ingredients and cook until tender. Add salt and seasoning to taste. Simmer until done. Serve hot."
Zucchini Tomato Sprouts Curry,"zucchini, tomato, sprouts, paneer, garlic",healthy,dinner,"To prepare Recipe 29, start by gathering the ingredients: zucchini, tomato, sprouts, paneer, garlic. Heat oil in a pan, add spices and sauté aromatics. Add vegetables or main ingredients and cook until tender. Add salt and seasoning to taste. Simmer until done. Serve hot."
Onion Broccoli Moong dal Curry,"onion, broccoli, moong dal, turmeric, garlic, fenugreek, mustard seeds, cumin",vegan,lunch,"To prepare Recipe 30, start by gathering the ingredients: onion, broccoli, moong dal, turmeric, garlic, fenugreek, mustard seeds, cumin. Heat oil in a pan, add spices and sauté aromatics. Add vegetables or main ingredients and cook until tender. Add salt and seasoning to taste. Simmer until done. Serve hot."
Healthy Quinoa Bowl,"rice, quinoa, zucchini, mint, moong dal, turmeric",healthy,breakfast,"To prepare Recipe 31, start by gathering the ingredients: rice, quinoa, zucchini, mint, moong dal, turmeric. Heat oil in a pan, add spices and sauté aromatics. Add vegetables or main ingredients and cook until tender. Add salt and seasoning to taste. Simmer until done. Serve hot."
Coriander Tomato Cumin Curry,"coriander, tomato, cumin, ginger, spinach, black pepper",healthy,lunch,"To prepare Recipe 32, start by gathering the ingredients: coriander, tomato, cumin, ginger, spinach, black pepper. Heat oil in a pan, add spices and sauté aromatics. Add vegetables or main ingredients and cook until tender. Add salt and seasoning to taste. Simmer until done. Serve hot."
Cauliflower Lemon Moong dal Curry,"cauliflower, lemon, moong dal, capsicum, turmeric, broccoli",vegetarian,lunch,"To prepare Recipe 33, start by gathering the ingredients: cauliflower, lemon, moong dal, capsicum, turmeric, broccoli. Heat oil in a pan, add spices and sauté aromatics. Add vegetables or main ingredients and cook until tender. Add salt and seasoning to taste. Simmer until done. Serve hot."
Healthy Quinoa Bowl,"spinach, quinoa, beans, ginger, sprouts, cumin, broccoli",vegan,lunch,"To prepare Recipe 34, start by gathering the ingredients: spinach, quinoa, beans, ginger, sprouts, cumin, broccoli. Heat oil in a pan, add spices and sauté aromatics. Add vegetables or main ingredients and cook until tender. Add salt and seasoning to taste. Simmer until done. Serve hot."
Coconut Mint Zucchini Curry,"coconut, mint, zucchini, oats, chili, sprouts, potato, turmeric",vegetarian,lunch,"To prepare Recipe 35, start by gathering the ingredients: coconut, mint, zucchini, oats, chili, sprouts, potato, turmeric. Heat oil in a pan, add spices and sauté aromatics. Add vegetables or main ingredients and cook until tender. Add salt and seasoning to taste. Simmer until done. Serve hot."
Carrot Cauliflower Rice Curry,"carrot, cauliflower, rice, moong dal, lemon",vegetarian,lunch,"To prepare Recipe 36, start by gathering the ingredients: carrot, cauliflower, rice, moong dal, lemon. Heat oil in a pan, add spices and sauté aromatics. Add vegetables or main ingredients and cook until tender. Add salt and seasoning to taste. Simmer until done. Serve hot."
Onion Capsicum Coriander Curry,"onion, capsicum, coriander, quinoa, spinach",vegetarian,breakfast,"To prepare Recipe 37, start by gathering the ingredients: onion, capsicum, coriander, quinoa, spinach. Heat oil in a pan, add spices and sauté aromatics. Add vegetables or main ingredients and cook until tender. Add salt and seasoning to taste. Simmer until done. Serve hot."
Healthy Quinoa Bowl,"quinoa, mustard seeds, yogurt, moong dal, sprouts",vegetarian,lunch,"To prepare Recipe 38, start by gathering the ingredients: quinoa, mustard seeds, yogurt, moong dal, sprouts. Heat oil in a pan, add spices and sauté aromatics. Add vegetables or main ingredients and cook until tender. Add salt and seasoning to taste. Simmer until done. Serve hot."
Sprouts Moong dal Black pepper Curry,"sprouts, moong dal, black pepper, lemon, spinach, mustard seeds, coriander",vegetarian,dinner,"To prepare Recipe 39, start by gathering the ingredients: sprouts, moong dal, black pepper, lemon, spinach, mustard seeds, coriander. Heat oil in a pan, add spices and sauté aromatics. Add vegetables or main ingredients and cook until tender. Add salt and seasoning to taste. Simmer until done. Serve hot."
Healthy Quinoa Bowl,"quinoa, cauliflower, sprouts, paneer, turmeric, potato",vegan,lunch,"To prepare Recipe 40, start by gathering the ingredients: quinoa, cauliflower, sprouts, paneer, turmeric, potato. Heat oil in a pan, add spices and sauté aromatics. Add vegetables or main ingredients and cook until tender. Add salt and seasoning to taste. Simmer until done. Serve hot."
Beans Yogurt Mustard seeds Curry,"beans, yogurt, mustard seeds, zucchini, potato, cauliflower",vegetarian,dinner,"To prepare Recipe 41, start by gathering the ingredients: beans, yogurt, mustard seeds, zucchini, potato, cauliflower. Heat oil in a pan, add spices and sauté aromatics. Add vegetables or main ingredients and cook until tender. Add salt and seasoning to taste. Simmer until done. Serve hot."
Healthy Quinoa Bowl,"oats, beans, quinoa, spinach, carrot",vegan,dinner,"To prepare Recipe 42, start by gathering the ingredients: oats, beans, quinoa, spinach, carrot. Heat oil in a pan, add spices and sauté aromatics. Add vegetables or main ingredients and cook until tender. Add salt and seasoning to taste. Simmer until done. Serve hot."
Healthy Quinoa Bowl,"paneer, turmeric, quinoa, oats, tomato, green peas, black pepper",vegetarian,dinner,"To prepare Recipe 43, start by gathering the ingredients: paneer, turmeric, quinoa, oats, tomato, green peas, black pepper. Heat oil in a pan, add spices and sauté aromatics. Add vegetables or main ingredients and cook until tender. Add salt and seasoning to taste. Simmer until done. Serve hot."
Oats Coriander Sprouts Curry,"oats, coriander, sprouts, onion, fenugreek, tomato, mustard seeds",vegan,breakfast,"To prepare Recipe 44, start by gathering the ingredients: oats, coriander, sprouts, onion, fenugreek, tomato, mustard seeds. Heat oil in a pan, add spices and sauté aromatics. Add vegetables or main ingredients and cook until tender. Add salt and seasoning to taste. Simmer until done. Serve hot."
Coconut Beans Moong dal Curry,"coconut, beans, moong dal, potato, mint, broccoli, green peas, ginger",vegetarian,dinner,"To prepare Recipe 45, start by gathering the ingredients: coconut, beans, moong dal, potato, mint, broccoli, green peas, ginger. Heat oil in a pan, add spices and sauté aromatics. Add vegetables or main ingredients and cook until tender. Add salt and seasoning to taste. Simmer until done. Serve hot."
Potato Lemon Chili Curry,"potato, lemon, chili, carrot, yogurt, garlic, cauliflower",vegan,dinner,"To prepare Recipe 46, start by gathering the ingredients: potato, lemon, chili, carrot, yogurt, garlic, cauliflower. Heat oil in a pan, add spices and sauté aromatics. Add vegetables or main ingredients and cook until tender. Add salt and seasoning to taste. Simmer until done. Serve hot."
Onion Moong dal Black pepper Curry,"onion, moong dal, black pepper, potato, zucchini, paneer, carrot, fenugreek",vegan,breakfast,"To prepare Recipe 47, start by gathering the ingredients: onion, moong dal, black pepper, potato, zucchini, paneer, carrot, fenugreek. Heat oil in a pan, add spices and sauté aromatics. Add vegetables or main ingredients and cook until tender. Add salt and seasoning to taste. Simmer until done. Serve hot."
Healthy Quinoa Bowl,"quinoa, green peas, spinach, moong dal, fenugreek, cauliflower, ginger",healthy,lunch,"To prepare Recipe 48, start by gathering the ingredients: quinoa, green peas, spinach, moong dal, fenugreek, cauliflower, ginger. Heat oil in a pan, add spices and sauté aromatics. Add vegetables or main ingredients and cook until tender. Add salt and seasoning to taste. Simmer until done. Serve hot."
Carrot Rice Fenugreek Curry,"carrot, rice, fenugreek, black pepper, zucchini, mint, green peas",healthy,lunch,"To prepare Recipe 49, start by gathering the ingredients: carrot, rice, fenugreek, black pepper, zucchini, mint, green peas. Heat oil in a pan, add spices and sauté aromatics. Add vegetables or main ingredients and cook until tender. Add salt and seasoning to taste. Simmer until done. Serve hot."
Healthy Quinoa Bowl,"green peas, quinoa, moong dal, mint, onion, rice",vegetarian,lunch,"To prepare Recipe 50, start by gathering the ingredients: green peas, quinoa, moong dal, mint, onion, rice. Heat oil in a pan, add spices and sauté aromatics. Add vegetables or main ingredients and cook until tender. Add salt and seasoning to taste. Simmer until done. Serve hot."
Carrot Black pepper Beans Curry,"carrot, black pepper, beans, lemon, mustard seeds",vegetarian,dinner,"To prepare Recipe 51, start by gathering the ingredients: carrot, black pepper, beans, lemon, mustard seeds. Heat oil in a pan, add spices and sauté aromatics. Add vegetables or main ingredients and cook until tender. Add salt and seasoning to taste. Simmer until done. Serve hot."
Black pepper Yogurt Chili Curry,"black pepper, yogurt, chili, tomato, coconut, zucchini, cauliflower",vegan,breakfast,"To prepare Recipe 52, start by gathering the ingredients: black pepper, yogurt, chili, tomato, coconut, zucchini, cauliflower. Heat oil in a pan, add spices and sauté aromatics. Add vegetables or main ingredients and cook until tender. Add salt and seasoning to taste. Simmer until done. Serve hot."
Fenugreek Mustard seeds Chili Curry,"fenugreek, mustard seeds, chili, quinoa, moong dal",vegan,breakfast,"To prepare Recipe 53, start by gathering the ingredients: fenugreek, mustard seeds, chili, quinoa, moong dal. Heat oil in a pan, add spices and sauté aromatics. Add vegetables or main ingredients and cook until tender. Add salt and seasoning to taste. Simmer until done. Serve hot."
Mint Oats Yogurt Curry,"mint, oats, yogurt, chili, tomato, cauliflower, mustard seeds",vegetarian,breakfast,"To prepare Recipe 54, start by gathering the ingredients: mint, oats, yogurt, chili, tomato, cauliflower, mustard seeds. Heat oil in a pan, add spices and sauté aromatics. Add vegetables or main ingredients and cook until tender. Add salt and seasoning to taste. Simmer until done. Serve hot."
Healthy Quinoa Bowl,"tomato, quinoa, zucchini, mustard seeds, capsicum, moong dal, cauliflower",vegetarian,breakfast,"To prepare Recipe 55, start by gathering the ingredients: tomato, quinoa, zucchini, mustard seeds, capsicum, moong dal, cauliflower. Heat oil in a pan, add spices and sauté aromatics. Add vegetables or main ingredients and cook until tender. Add salt and seasoning to taste. Simmer until done. Serve hot."
Coriander Mint Paneer Curry,"coriander, mint, paneer, chili, spinach, green peas, beans, zucchini",vegetarian,dinner,"To prepare Recipe 56, start by gathering the ingredients: coriander, mint, paneer, chili, spinach, green peas, beans, zucchini. Heat oil in a pan, add spices and sauté aromatics. Add vegetables or main ingredients and cook until tender. Add salt and seasoning to taste. Simmer until done. Serve hot."
Green peas Fenugreek Cauliflower Curry,"green peas, fenugreek, cauliflower, ginger, tomato, coriander, capsicum",vegetarian,dinner,"To prepare Recipe 57, start by gathering the ingredients: green peas, fenugreek, cauliflower, ginger, tomato, coriander, capsicum. Heat oil in a pan, add spices and sauté aromatics. Add vegetables or main ingredients and cook until tender. Add salt and seasoning to taste. Simmer until done. Serve hot."
Capsicum Paneer Black pepper Curry,"capsicum, paneer, black pepper, zucchini, oats, potato, tomato",vegetarian,breakfast,"To prepare Recipe 58, start by gathering the ingredients: capsicum, paneer, black pepper, zucchini, oats, potato, tomato. Heat oil in a pan, add spices and sauté aromatics. Add vegetables or main ingredients and cook until tender. Add salt and seasoning to taste. Simmer until done. Serve hot."
Palak Paneer Delight,"mustard seeds, paneer, spinach, sprouts, garlic, beans, rice",healthy,dinner,"To prepare Recipe 59, start by gathering the ingredients: mustard seeds, paneer, spinach, sprouts, garlic, beans, rice. Heat oil in a pan, add spices and sauté aromatics. Add vegetables or main ingredients and cook until tender. Add salt and seasoning to taste. Simmer until done. Serve hot."
Cumin Capsicum Spinach Curry,"cumin, capsicum, spinach, beans, rice, coriander, tomato",vegetarian,dinner,"To prepare Recipe 60, start by gathering the ingredients: cumin, capsicum, spinach, beans, rice, coriander, tomato. Heat oil in a pan, add spices and sauté aromatics. Add vegetables or main ingredients and cook until tender. Add salt and seasoning to taste. Simmer until done. Serve hot."
Onion Tomato Black pepper Curry,"onion, tomato, black pepper, oats, ginger, cauliflower, mustard seeds, broccoli",healthy,breakfast,"To prepare Recipe 61, start by gathering the ingredients: onion, tomato, black pepper, oats, ginger, cauliflower, mustard seeds, broccoli. Heat oil in a pan, add spices and sauté aromatics. Add vegetables or main ingredients and cook until tender. Add salt and seasoning to taste. Simmer until done. Serve hot."
Green peas Onion Paneer Curry,"green peas, onion, paneer, black pepper, broccoli, mint",vegan,dinner,"To prepare Recipe 62, start by gathering the ingredients: green peas, onion, paneer, black pepper, broccoli, mint. Heat oil in a pan, add spices and sauté aromatics. Add vegetables or main ingredients and cook until tender. Add salt and seasoning to taste. Simmer until done. Serve hot."
Cumin Yogurt Lemon Curry,"cumin, yogurt, lemon, tomato, coconut, turmeric",healthy,breakfast,"To prepare Recipe 63, start by gathering the ingredients: cumin, yogurt, lemon, tomato, coconut, turmeric. Heat oil in a pan, add spices and sauté aromatics. Add vegetables or main ingredients and cook until tender. Add salt and seasoning to taste. Simmer until done. Serve hot."
Paneer Carrot Ginger Curry,"paneer, carrot, ginger, turmeric, rice, moong dal",vegetarian,breakfast,"To prepare Recipe 64, start by gathering the ingredients: paneer, carrot, ginger, turmeric, rice, moong dal. Heat oil in a pan, add spices and sauté aromatics. Add vegetables or main ingredients and cook until tender. Add salt and seasoning to taste. Simmer until done. Serve hot."
Potato Garlic Ginger Curry,"potato, garlic, ginger, tomato, mustard seeds, black pepper, yogurt, onion",vegetarian,lunch,"To prepare Recipe 65, start by gathering the ingredients: potato, garlic, ginger, tomato, mustard seeds, black pepper, yogurt, onion. Heat oil in a pan, add spices and sauté aromatics. Add vegetables or main ingredients and cook until tender. Add salt and seasoning to taste. Simmer until done. Serve hot."
Healthy Quinoa Bowl,"carrot, quinoa, chili, beans, lemon, turmeric",vegetarian,breakfast,"To prepare Recipe 66, start by gathering the ingredients: carrot, quinoa, chili, beans, lemon, turmeric. Heat oil in a pan, add spices and sauté aromatics. Add vegetables or main ingredients and cook until tender. Add salt and seasoning to taste. Simmer until done. Serve hot."
Chili Cauliflower Cumin Curry,"chili, cauliflower, cumin, broccoli, sprouts, beans, garlic",healthy,breakfast,"To prepare Recipe 67, start by gathering the ingredients: chili, cauliflower, cumin, broccoli, sprouts, beans, garlic. Heat oil in a pan, add spices and sauté aromatics. Add vegetables or main ingredients and cook until tender. Add salt and seasoning to taste. Simmer until done. Serve hot."
Healthy Quinoa Bowl,"quinoa, spinach, broccoli, zucchini, coriander, coconut, garlic",healthy,dinner,"To prepare Recipe 68, start by gathering the ingredients: quinoa, spinach, broccoli, zucchini, coriander, coconut, garlic. Heat oil in a pan, add spices and sauté aromatics. Add vegetables or main ingredients and cook until tender. Add salt and seasoning to taste. Simmer until done. Serve hot."
Tomato Black pepper Fenugreek Curry,"tomato, black pepper, fenugreek, beans, oats, onion",vegetarian,dinner,"To prepare Recipe 69, start by gathering the ingredients: tomato, black pepper, fenugreek, beans, oats, onion. Heat oil in a pan, add spices and sauté aromatics. Add vegetables or main ingredients and cook until tender. Add salt and seasoning to taste. Simmer until done. Serve hot."
